,R,P,V,I,D,T,pol,dush
1485,особи,особи,особь,особь,особи,особью,Ж,1.0
1486,осознания,осознании,осознание,осознание,осознанию,осознанием,ср,0.0
1487,остального,остальном,остальное,остальное,остальному,остальным,ср,0.0
1488,остатка,остатке,остаток,остаток,остатку,остатком,М,0.0
1489,осторожности,осторожности,осторожность,осторожность,осторожности,осторожностью,Ж,0.0
1490,острова,острове,остров,остров,острову,островом,М,0.0
1491,осуждения,осуждении,осуждение,осуждение,осуждению,осуждением,ср,0.0
1492,осуществления,осуществлении,осуществление,осуществление,осуществлению,осуществлением,ср,0.0
1493,отбора,отборе,отбор,отбор,отбору,отбором,М,0.0
1494,отверстия,отверстии,отверстие,отверстие,отверстию,отверстием,ср,0.0
1495,ответа,ответе,ответ,ответ,ответу,ответом,М,0.0
1496,ответственности,ответственности,ответственность,ответственность,ответственности,ответственностью,Ж,0.0
1497,отвращения,отвращении,отвращение,отвращение,отвращению,отвращением,ср,0.0
1498,отдела,отделе,отдел,отдел,отделу,отделом,М,0.0
1499,отделения,отделении,отделение,отделение,отделению,отделением,ср,0.0
1500,отдыха,отдыхе,отдых,отдых,отдыху,отдыхом,М,0.0
1501,отеля,отеле,отель,отель,отелю,отелем,М,0.0
1502,отечества,отечестве,отечество,отечество,отечеству,отечеством,ср,0.0
1503,отзыва,отзыве,отзыв,отзыв,отзыву,отзывом,М,0.0
1504,отказа,отказе,отказ,отказ,отказу,отказом,М,0.0
1505,отклика,отклике,отклик,отклик,отклику,откликом,М,0.0
1506,отклонения,отклонении,отклонение,отклонение,отклонению,отклонением,ср,0.0
1507,откровения,откровении,откровение,откровение,откровению,откровением,ср,0.0
1508,открытия,открытии,открытие,открытие,открытию,открытием,ср,0.0
1509,открытости,открытости,открытость,открытость,открытости,открытостью,Ж,0.0
1510,отличия,отличии,отличие,отличие,отличию,отличием,ср,0.0
1511,отношения,отношении,отношение,отношение,отношению,отношением,ср,0.0
1512,отопления,отоплении,отопление,отопление,отоплению,отоплением,ср,0.0
1513,отпечатка,отпечатке,отпечаток,отпечаток,отпечатку,отпечатком,М,0.0
1514,отправления,отправлении,отправление,отправление,отправлению,отправлением,ср,0.0
1515,отражения,отражении,отражение,отражение,отражению,отражением,ср,0.0
1516,отрасли,отрасли,отрасль,отрасль,отрасли,отраслью,Ж,0.0
1517,отрезка,отрезке,отрезок,отрезок,отрезку,отрезком,М,0.0
1518,отрицания,отрицании,отрицание,отрицание,отрицанию,отрицанием,ср,0.0
1519,отрывка,отрывке,отрывок,отрывок,отрывку,отрывком,М,0.0
1520,отряда,отряде,отряд,отряд,отряду,отрядом,М,0.0
1521,отсека,отсеке,отсек,отсек,отсеку,отсеком,М,0.0
1522,отступления,отступлении,отступление,отступление,отступлению,отступлением,ср,0.0
1523,отсутствия,отсутствии,отсутствие,отсутствие,отсутствию,отсутствием,ср,0.0
1524,отсчета,отсчете,отсчет,отсчет,отсчету,отсчетом,М,0.0
1525,оттенка,оттенке,оттенок,оттенок,оттенку,оттенком,М,0.0
1526,отхода,отходе,отход,отход,отходу,отходом,М,0.0
1527,отчаяния,отчаянии,отчаяние,отчаяние,отчаянию,отчаянием,ср,0.0
1528,отчета,отчете,отчет,отчет,отчету,отчетом,М,0.0
1529,отчетности,отчетности,отчетность,отчетность,отчетности,отчетностью,Ж,0.0
1530,отъезда,отъезде,отъезд,отъезд,отъезду,отъездом,М,0.0
1531,офиса,офисе,офис,офис,офису,офисом,М,0.0
1532,офицера,офицере,офицера,офицер,офицеру,офицером,М,1.0
1533,оформления,оформлении,оформление,оформление,оформлению,оформлением,ср,0.0
1534,охотника,охотнике,охотника,охотник,охотнику,охотником,М,1.0
1535,охранника,охраннике,охранника,охранник,охраннику,охранником,М,1.0
1536,очага,очаге,очаг,очаг,очагу,очагом,М,0.0
1537,очереди,очереди,очередь,очередь,очереди,очередью,Ж,0.0
1538,очерка,очерке,очерк,очерк,очерку,очерком,М,0.0
1539,очертания,очертании,очертание,очертание,очертанию,очертанием,ср,0.0
1540,очищения,очищении,очищение,очищение,очищению,очищением,ср,0.0
1541,очка,очке,очко,очко,очку,очком,ср,0.0
1542,ощущения,ощущении,ощущение,ощущение,ощущению,ощущением,ср,0.0
1543,павильона,павильоне,павильон,павильон,павильону,павильоном,М,0.0
1544,падения,падении,падение,падение,падению,падением,ср,0.0
1545,пакета,пакете,пакет,пакет,пакету,пакетом,М,0.0
1546,палача,палаче,палача,палач,палачу,палачом,М,1.0
1547,пальца,пальце,палец,палец,пальцу,пальцем,М,0.0
1548,пальчика,пальчике,пальчик,пальчик,пальчику,пальчиком,М,0.0
1549,памятника,памятнике,памятник,памятник,памятнику,памятником,М,0.0
1550,памяти,памяти,память,память,памяти,памятью,Ж,0.0
1551,пана,пане,пана,пан,пану,паном,М,1.0
1552,панели,панели,панель,панель,панели,панелью,Ж,0.0
1553,параграфа,параграфе,параграф,параграф,параграфу,параграфом,М,0.0
1554,парада,параде,парад,парад,параду,парадом,М,0.0
1555,парадокса,парадоксе,парадокс,парадокс,парадоксу,парадоксом,М,0.0
1556,параллели,параллели,параллель,параллель,параллели,параллелью,Ж,0.0
1557,параметра,параметре,параметр,параметр,параметру,параметром,М,0.0
1558,парашюта,парашюте,парашют,парашют,парашюту,парашютом,М,0.0
1559,паренька,пареньке,паренька,паренек,пареньку,пареньком,М,1.0
1560,парня,парне,парня,парень,парню,парнем,М,1.0
1561,парка,парке,парк,парк,парку,парком,М,0.0
1562,парламента,парламенте,парламент,парламент,парламенту,парламентом,М,0.0
1563,паровоза,паровозе,паровоз,паровоз,паровозу,паровозом,М,0.0
1564,пароля,пароле,пароль,пароль,паролю,паролем,М,0.0
1565,парохода,пароходе,пароход,пароход,пароходу,пароходом,М,0.0
1566,партизана,партизане,партизана,партизан,партизану,партизаном,М,1.0
1567,партии,партии,партию,партия,партии,партией,Ж,0.0
1568,партнера,партнере,партнера,партнер,партнеру,партнером,М,1.0
1569,партнерства,партнерстве,партнерство,партнерство,партнерству,партнерством,ср,0.0
1570,паруса,парусе,парус,парус,парусу,парусом,М,0.0
1571,паспорта,паспорте,паспорт,паспорт,паспорту,паспортом,М,0.0
1572,пассажира,пассажире,пассажира,пассажир,пассажиру,пассажиром,М,1.0
1573,пассажирского,пассажирском,пассажирский,пассажирский,пассажирскому,пассажирским,М,0.0
1574,пастернака,пастернаке,пастернак,пастернак,пастернаку,пастернаком,М,0.0
1575,пастуха,пастухе,пастуха,пастух,пастуху,пастухом,М,1.0
1576,пасти,пасти,пасть,пасть,пасти,пастью,Ж,0.0
1577,патологии,патологии,патологию,патология,патологии,патологией,Ж,0.0
1578,патриарха,патриархе,патриарха,патриарх,патриарху,патриархом,М,1.0
1579,патриота,патриоте,патриота,патриот,патриоту,патриотом,М,1.0
1580,патриотизма,патриотизме,патриотизм,патриотизм,патриотизму,патриотизмом,М,0.0
1581,паука,пауке,паука,паук,пауку,пауком,М,1.0
1582,пафоса,пафосе,пафос,пафос,пафосу,пафосом,М,0.0
1583,пацана,пацане,пацана,пацан,пацану,пацаном,М,1.0
1584,пациента,пациенте,пациента,пациент,пациенту,пациентом,М,1.0
1585,певца,певце,певца,певец,певцу,певцом,М,1.0
1586,педали,педали,педаль,педаль,педали,педалью,Ж,0.0
1587,пейзажа,пейзаже,пейзаж,пейзаж,пейзажу,пейзажем,М,0.0
1588,пения,пении,пение,пение,пению,пением,ср,0.0
1589,пенсии,пенсии,пенсию,пенсия,пенсии,пенсией,Ж,0.0
1590,пепла,пепле,пепел,пепел,пеплу,пеплом,М,0.0
1591,первенства,первенстве,первенство,первенство,первенству,первенством,ср,0.0
1592,первого,первом,первое,первое,первому,первым,ср,0.0
1593,перевала,перевале,перевал,перевал,перевалу,перевалом,М,0.0
1594,перевода,переводе,перевод,перевод,переводу,переводом,М,0.0
1595,переводчика,переводчике,переводчика,переводчик,переводчику,переводчиком,М,1.0
1596,переворота,перевороте,переворот,переворот,перевороту,переворотом,М,0.0
1597,передвижения,передвижении,передвижение,передвижение,передвижению,передвижением,ср,0.0
1598,переднего,переднем,переднего,передний,переднему,передним,М,1.0
1599,передового,передовом,передового,передовой,передовому,передовым,М,1.0
1600,переезда,переезде,переезд,переезд,переезду,переездом,М,0.0
1601,переживания,переживании,переживание,переживание,переживанию,переживанием,ср,0.0
1602,перекрестка,перекрестке,перекресток,перекресток,перекрестку,перекрестком,М,0.0
1603,перелета,перелете,перелет,перелет,перелету,перелетом,М,0.0
1604,перелома,переломе,перелом,перелом,перелому,переломом,М,0.0
1605,перемещения,перемещении,перемещение,перемещение,перемещению,перемещением,ср,0.0
1606,переноса,переносе,перенос,перенос,переносу,переносом,М,0.0
1607,переписи,переписи,перепись,перепись,переписи,переписью,Ж,0.0
1608,перерыва,перерыве,перерыв,перерыв,перерыву,перерывом,М,0.0
1609,пересечения,пересечении,пересечение,пересечение,пересечению,пересечением,ср,0.0
1610,пересмотра,пересмотре,пересмотр,пересмотр,пересмотру,пересмотром,М,0.0
1611,переулка,переулке,переулок,переулок,переулку,переулком,М,0.0
1612,перехода,переходе,переход,переход,переходу,переходом,М,0.0
1613,перца,перце,перец,перец,перцу,перцем,М,0.0
1614,перечня,перечне,перечень,перечень,перечню,перечнем,М,0.0
1615,периода,периоде,период,период,периоду,периодом,М,0.0
1616,пера,пере,перо,перо,перу,пером,ср,0.0
1617,персонажа,персонаже,персонажа,персонаж,персонажу,персонажем,М,1.0
1618,персонала,персонале,персонал,персонал,персоналу,персоналом,М,0.0
1619,пса,псе,пса,пес,псу,псом,М,1.0
1620,петуха,петухе,петуха,петух,петуху,петухом,М,1.0
1621,пети,пете,петю,петя,пете,петей,М,1.0
1622,печали,печали,печаль,печаль,печали,печалью,Ж,0.0
1623,печати,печати,печать,печать,печати,печатью,Ж,0.0
1624,печени,печени,печень,печень,печени,печенью,Ж,0.0
1625,печенья,печенье,печенье,печенье,печенью,печеньем,ср,0.0
1626,пива,пиве,пиво,пиво,пиву,пивом,ср,0.0
1627,пиджака,пиджаке,пиджак,пиджак,пиджаку,пиджаком,М,0.0
1628,пика,пике,пик,пик,пику,пиком,М,0.0
1629,пилота,пилоте,пилота,пилот,пилоту,пилотом,М,1.0
1630,пионера,пионере,пионера,пионер,пионеру,пионером,М,1.0
1631,пирата,пирате,пирата,пират,пирату,пиратом,М,1.0
1632,пирога,пироге,пирог,пирог,пирогу,пирогом,М,0.0
1633,пирожка,пирожке,пирожок,пирожок,пирожку,пирожком,М,0.0
1634,писания,писании,писание,писание,писанию,писанием,ср,0.0
1635,писателя,писателе,писателя,писатель,писателю,писателем,М,1.0
1636,пистолета,пистолете,пистолет,пистолет,пистолету,пистолетом,М,0.0
1637,письма,письме,письмо,письмо,письму,письмом,ср,0.0
1638,питания,питании,питание,питание,питанию,питанием,ср,0.0
1639,плавания,плавании,плавание,плавание,плаванию,плаванием,ср,0.0
1640,плаката,плакате,плакат,плакат,плакату,плакатом,М,0.0
1641,пламени,пламени,пламя,пламя,пламени,пламенем,ср,0.0
1642,плана,плане,план,план,плану,планом,М,0.0
1643,планирования,планировании,планирование,планирование,планированию,планированием,ср,0.0
1644,пласта,пласте,пласт,пласт,пласту,пластом,М,0.0
1645,платежа,платеже,платеж,платеж,платежу,платежом,М,0.0
1646,платка,платке,платок,платок,платку,платком,М,0.0
1647,платья,платье,платье,платье,платью,платьем,ср,0.0
1648,плача,плаче,плач,плач,плачу,плачем,М,0.0
1649,плаща,плаще,плащ,плащ,плащу,плащом,М,0.0
1650,племени,племени,племя,племя,племени,племенем,ср,0.0
1651,племянника,племяннике,племянника,племянник,племяннику,племянником,М,1.0
1652,пленника,пленнике,пленника,пленник,пленнику,пленником,М,1.0
1653,плеча,плече,плечо,плечо,плечу,плечом,ср,0.0
1654,плода,плоде,плод,плод,плоду,плодом,М,0.0
1655,плоскости,плоскости,плоскость,плоскость,плоскости,плоскостью,Ж,0.0
1656,плотности,плотности,плотность,плотность,плотности,плотностью,Ж,0.0
1657,площади,площади,площадь,площадь,площади,площадью,Ж,0.0
1658,пляжа,пляже,пляж,пляж,пляжу,пляжем,М,0.0
1659,побега,побеге,побег,побег,побегу,побегом,М,0.0
1660,победителя,победителе,победителя,победитель,победителю,победителем,М,1.0
1661,побережья,побережье,побережье,побережье,побережью,побережьем,ср,0.0
1662,побуждения,побуждении,побуждение,побуждение,побуждению,побуждением,ср,0.0
1663,повара,поваре,повара,повар,повару,поваром,М,1.0
1664,поведения,поведении,поведение,поведение,поведению,поведением,ср,0.0
1665,поверхности,поверхности,поверхность,поверхность,поверхности,поверхностью,Ж,0.0
1666,повествования,повествовании,повествование,повествование,повествованию,повествованием,ср,0.0
1667,повести,повести,повесть,повесть,повести,повестью,Ж,0.0
1668,повода,поводе,повод,повод,поводу,поводом,М,0.0
1669,поворота,повороте,поворот,поворот,повороту,поворотом,М,0.0
1670,повреждения,повреждении,повреждение,повреждение,повреждению,повреждением,ср,0.0
1671,повторения,повторении,повторение,повторение,повторению,повторением,ср,0.0
1672,повышения,повышении,повышение,повышение,повышению,повышением,ср,0.0
1673,погашения,погашении,погашение,погашение,погашению,погашением,ср,0.0
1674,погона,погоне,погон,погон,погону,погоном,М,0.0
1675,погружения,погружении,погружение,погружение,погружению,погружением,ср,0.0
1676,подавления,подавлении,подавление,подавление,подавлению,подавлением,ср,0.0
1677,подарка,подарке,подарок,подарок,подарку,подарком,М,0.0
1678,подати,подати,подать,подать,подати,податью,Ж,0.0
1679,подбора,подборе,подбор,подбор,подбору,подбором,М,0.0
1680,подбородка,подбородке,подбородок,подбородок,подбородку,подбородком,М,0.0
1681,подвала,подвале,подвал,подвал,подвалу,подвалом,М,0.0
1682,подвига,подвиге,подвиг,подвиг,подвигу,подвигом,М,0.0
1683,поддержания,поддержании,поддержание,поддержание,поддержанию,поддержанием,ср,0.0
1684,подключения,подключении,подключение,подключение,подключению,подключением,ср,0.0
1685,подкрепления,подкреплении,подкрепление,подкрепление,подкреплению,подкреплением,ср,0.0
1686,подножия,подножии,подножие,подножие,подножию,подножием,ср,0.0
1687,подноса,подносе,поднос,поднос,подносу,подносом,М,0.0
1688,подобия,подобии,подобие,подобие,подобию,подобием,ср,0.0
1689,подозрения,подозрении,подозрение,подозрение,подозрению,подозрением,ср,0.0
1690,подоконника,подоконнике,подоконник,подоконник,подоконнику,подоконником,М,0.0
1691,подписания,подписании,подписание,подписание,подписанию,подписанием,ср,0.0
1692,подписи,подписи,подпись,подпись,подписи,подписью,Ж,0.0
1693,подполковника,подполковнике,подполковника,подполковник,подполковнику,подполковником,М,1.0
1694,подражания,подражании,подражание,подражание,подражанию,подражанием,ср,0.0
1695,подразделения,подразделении,подразделение,подразделение,подразделению,подразделением,ср,0.0
1696,подробности,подробности,подробность,подробность,подробности,подробностью,Ж,0.0
1697,подростка,подростке,подростка,подросток,подростку,подростком,М,1.0
1698,подсознания,подсознании,подсознание,подсознание,подсознанию,подсознанием,ср,0.0
1699,подсчета,подсчете,подсчет,подсчет,подсчету,подсчетом,М,0.0
1700,подтверждения,подтверждении,подтверждение,подтверждение,подтверждению,подтверждением,ср,0.0
1701,подхода,подходе,подход,подход,подходу,подходом,М,0.0
1702,подчинения,подчинении,подчинение,подчинение,подчинению,подчинением,ср,0.0
1703,подъезда,подъезде,подъезд,подъезд,подъезду,подъездом,М,0.0
1704,подъема,подъеме,подъем,подъем,подъему,подъемом,М,0.0
1705,поединка,поединке,поединок,поединок,поединку,поединком,М,0.0
1706,поезда,поезде,поезд,поезд,поезду,поездом,М,0.0
1707,пожара,пожаре,пожар,пожар,пожару,пожаром,М,0.0
1708,пожарного,пожарном,пожарного,пожарный,пожарному,пожарным,М,1.0
1709,пожелания,пожелании,пожелание,пожелание,пожеланию,пожеланием,ср,0.0
1710,позвоночника,позвоночнике,позвоночник,позвоночник,позвоночнику,позвоночником,М,0.0
1711,позиции,позиции,позицию,позиция,позиции,позицией,Ж,0.0
1712,познания,познании,познание,познание,познанию,познанием,ср,0.0
1713,позора,позоре,позор,позор,позору,позором,М,0.0
1714,поиска,поиске,поиск,поиск,поиску,поиском,М,0.0
1715,показа,показе,показ,показ,показу,показом,М,0.0
1716,показания,показании,показание,показание,показанию,показанием,ср,0.0
1717,показателя,показателе,показатель,показатель,показателю,показателем,М,0.0
1718,поклона,поклоне,поклон,поклон,поклону,поклоном,М,0.0
1719,поклонника,поклоннике,поклонника,поклонник,поклоннику,поклонником,М,1.0
1720,покоя,покое,покой,покой,покою,покоем,М,0.0
1721,покойника,покойнике,покойника,покойник,покойнику,покойником,М,1.0
1722,поколения,поколении,поколение,поколение,поколению,поколением,ср,0.0
1723,покрова,покрове,покров,покров,покрову,покровом,М,0.0
1724,покрытия,покрытии,покрытие,покрытие,покрытию,покрытием,ср,0.0
1725,покупателя,покупателе,покупателя,покупатель,покупателю,покупателем,М,1.0
1726,покушения,покушении,покушение,покушение,покушению,покушением,ср,0.0
1727,пола,поле,пол,пол,полу,полом,М,0.0
1728,полдня,полдне,полдень,полдень,полдню,полднем,М,0.0
1729,поля,поле,поле,поле,полю,полем,ср,0.0
1730,полезности,полезности,полезность,полезность,полезности,полезностью,Ж,0.0
1731,полета,полете,полет,полет,полету,полетом,М,0.0
1732,полигона,полигоне,полигон,полигон,полигону,полигоном,М,0.0
1733,политика,политике,политика,политик,политику,политиком,М,1.0
1734,полицейского,полицейском,полицейского,полицейский,полицейскому,полицейским,М,1.0
1735,полиции,полиции,полицию,полиция,полиции,полицией,Ж,0.0
1736,полковника,полковнике,полковника,полковник,полковнику,полковником,М,1.0
1737,полководца,полководце,полководца,полководец,полководцу,полководцем,М,1.0
1738,полночи,полночи,полночь,полночь,полночи,полночью,Ж,0.0
1739,полового,половом,полового,половой,половому,половым,М,1.0
1740,положения,положении,положение,положение,положению,положением,ср,0.0
1741,полотенца,полотенце,полотенце,полотенце,полотенцу,полотенцем,ср,0.0
1742,полотна,полотне,полотно,полотно,полотну,полотном,ср,0.0
1743,полуострова,полуострове,полуостров,полуостров,полуострову,полуостровом,М,0.0
1744,получения,получении,получение,получение,получению,получением,ср,0.0
1745,полушария,полушарии,полушарие,полушарие,полушарию,полушарием,ср,0.0
1746,получаса,получасе,полчаса,полчаса,получасу,получасом,ср,0.0
1747,пользования,пользовании,пользование,пользование,пользованию,пользованием,ср,0.0
1748,пользователя,пользователе,пользователя,пользователь,пользователю,пользователем,М,1.0
1749,польского,польском,польский,польский,польскому,польским,М,0.0
1750,полюса,полюсе,полюс,полюс,полюсу,полюсом,М,0.0
1751,помещения,помещении,помещение,помещение,помещению,помещением,ср,0.0
1752,помещика,помещике,помещика,помещик,помещику,помещиком,М,1.0
1753,помощника,помощнике,помощника,помощник,помощнику,помощником,М,1.0
1754,помощи,помощи,помощь,помощь,помощи,помощью,Ж,0.0
1755,понедельника,понедельнике,понедельник,понедельник,понедельнику,понедельником,М,0.0
1756,понимания,понимании,понимание,понимание,пониманию,пониманием,ср,0.0
1757,понятия,понятии,понятие,понятие,понятию,понятием,ср,0.0
1758,попа,попе,попа,поп,попу,попом,М,1.0
1759,попадания,попадании,попадание,попадание,попаданию,попаданием,ср,0.0
1760,пополнения,пополнении,пополнение,пополнение,пополнению,пополнением,ср,0.0
1761,попугая,попугае,попугая,попугай,попугаю,попугаем,М,1.0
1762,популярности,популярности,популярность,популярность,популярности,популярностью,Ж,0.0
1763,поражения,поражении,поражение,поражение,поражению,поражением,ср,0.0
1764,порога,пороге,порог,порог,порогу,порогом,М,0.0
1765,порока,пороке,порок,порок,пороку,пороком,М,0.0
1766,порошка,порошке,порошок,порошок,порошку,порошком,М,0.0
1767,портала,портале,портал,портал,порталу,порталом,М,0.0
1768,портрета,портрете,портрет,портрет,портрету,портретом,М,0.0
1769,портфеля,портфеле,портфель,портфель,портфелю,портфелем,М,0.0
1770,поручения,поручении,поручение,поручение,поручению,поручением,ср,0.0
1771,порции,порции,порцию,порция,порции,порцией,Ж,0.0
1772,порыва,порыве,порыв,порыв,порыву,порывом,М,0.0
1773,порядка,порядке,порядок,порядок,порядку,порядком,М,0.0
1774,поселения,поселении,поселение,поселение,поселению,поселением,ср,0.0
1775,поселка,поселке,поселок,поселок,поселку,поселком,М,0.0
1776,посетителя,посетителе,посетителя,посетитель,посетителю,посетителем,М,1.0
1777,посещения,посещении,посещение,посещение,посещению,посещением,ср,0.0
1778,послания,послании,послание,послание,посланию,посланием,ср,0.0
1779,последовательности,последовательности,последовательность,последовательность,последовательности,последовательностью,Ж,0.0
1780,пособия,пособии,пособие,пособие,пособию,пособием,ср,0.0
1781,посла,после,посла,посол,послу,послом,М,1.0
1782,посольства,посольстве,посольство,посольство,посольству,посольством,ср,0.0
1783,посредника,посреднике,посредника,посредник,посреднику,посредником,М,1.0
1784,поста,посте,пост,пост,посту,постом,М,0.0
1785,постановления,постановлении,постановление,постановление,постановлению,постановлением,ср,0.0
1786,постели,постели,постель,постель,постели,постелью,Ж,0.0
1787,построения,построении,построение,построение,построению,построением,ср,0.0
1788,поступления,поступлении,поступление,поступление,поступлению,поступлением,ср,0.0
1789,поступка,поступке,поступок,поступок,поступку,поступком,М,0.0
1790,потенциала,потенциале,потенциал,потенциал,потенциалу,потенциалом,М,0.0
1791,потока,потоке,поток,поток,потоку,потоком,М,0.0
1792,потолка,потолке,потолок,потолок,потолку,потолком,М,0.0
1793,потомка,потомке,потомок,потомок,потомку,потомком,М,0.0
1794,потомства,потомстве,потомство,потомство,потомству,потомством,ср,0.0
1795,потребления,потреблении,потребление,потребление,потреблению,потреблением,ср,0.0
1796,потребности,потребности,потребность,потребность,потребности,потребностью,Ж,0.0
1797,потрясения,потрясении,потрясение,потрясение,потрясению,потрясением,ср,0.0
1798,похода,походе,поход,поход,походу,походом,М,0.0
1799,поцелуя,поцелуе,поцелуй,поцелуй,поцелую,поцелуем,М,0.0
1800,почерка,почерке,почерк,почерк,почерку,почерком,М,0.0
1801,почтения,почтении,почтение,почтение,почтению,почтением,ср,0.0
1802,почтового,почтовом,почтового,почтовый,почтовому,почтовым,М,1.0
1803,поэзии,поэзии,поэзию,поэзия,поэзии,поэзией,Ж,0.0
1804,поэта,поэте,поэта,поэт,поэту,поэтом,М,1.0
1805,появления,появлении,появление,появление,появлению,появлением,ср,0.0
1806,пояса,поясе,пояс,пояс,поясу,поясом,М,0.0
1807,правила,правиле,правило,правило,правилу,правилом,ср,0.0
1808,правильности,правильности,правильность,правильность,правильности,правильностью,Ж,0.0
1809,правителя,правителе,правителя,правитель,правителю,правителем,М,1.0
1810,правительства,правительстве,правительство,правительство,правительству,правительством,ср,0.0
1811,правления,правлении,правление,правление,правлению,правлением,ср,0.0
1812,права,праве,право,право,праву,правом,ср,0.0
1813,православия,православии,православие,православие,православию,православием,ср,0.0
1814,правосудия,правосудии,правосудие,правосудие,правосудию,правосудием,ср,0.0
1815,праздника,празднике,праздник,праздник,празднику,праздником,М,0.0
1816,празднования,праздновании,празднование,празднование,празднованию,празднованием,ср,0.0
1817,праха,прахе,прах,прах,праху,прахом,М,0.0
1818,пребывания,пребывании,пребывание,пребывание,пребыванию,пребыванием,ср,0.0
1819,превосходства,превосходстве,превосходство,превосходство,превосходству,превосходством,ср,0.0
1820,превращения,превращении,превращение,превращение,превращению,превращением,ср,0.0
1821,предания,предании,предание,предание,преданию,преданием,ср,0.0
1822,преданности,преданности,преданность,преданность,преданности,преданностью,Ж,0.0
1823,предателя,предателе,предателя,предатель,предателю,предателем,М,1.0
1824,предательства,предательстве,предательство,предательство,предательству,предательством,ср,0.0
1825,предела,пределе,предел,предел,пределу,пределом,М,0.0
1826,предисловия,предисловии,предисловие,предисловие,предисловию,предисловием,ср,0.0
1827,предлога,предлоге,предлог,предлог,предлогу,предлогом,М,0.0
1828,предложения,предложении,предложение,предложение,предложению,предложением,ср,0.0
1829,предмета,предмете,предмет,предмет,предмету,предметом,М,0.0
1830,предназначения,предназначении,предназначение,предназначение,предназначению,предназначением,ср,0.0
1831,предка,предке,предка,предок,предку,предком,М,1.0
1832,предоставления,предоставлении,предоставление,предоставление,предоставлению,предоставлением,ср,0.0
1833,предотвращения,предотвращении,предотвращение,предотвращение,предотвращению,предотвращением,ср,0.0
1834,предписания,предписании,предписание,предписание,предписанию,предписанием,ср,0.0
1835,предположения,предположении,предположение,предположение,предположению,предположением,ср,0.0
1836,предпочтения,предпочтении,предпочтение,предпочтение,предпочтению,предпочтением,ср,0.0
1837,предпринимательства,предпринимательстве,предпринимательство,предпринимательство,предпринимательству,предпринимательством,ср,0.0
1838,предприятия,предприятии,предприятие,предприятие,предприятию,предприятием,ср,0.0
1839,председателя,председателе,председателя,председатель,председателю,председателем,М,1.0
1840,предсказания,предсказании,предсказание,предсказание,предсказанию,предсказанием,ср,0.0
1841,представителя,представителе,представителя,представитель,представителю,представителем,М,1.0
1842,представительства,представительстве,представительство,представительство,представительству,представительством,ср,0.0
1843,представления,представлении,представление,представление,представлению,представлением,ср,0.0
1844,предстоящего,предстоящем,предстоящего,предстоящий,предстоящему,предстоящим,М,1.0
1845,предупреждения,предупреждении,предупреждение,предупреждение,предупреждению,предупреждением,ср,0.0
1846,предчувствия,предчувствии,предчувствие,предчувствие,предчувствию,предчувствием,ср,0.0
1847,предшественника,предшественнике,предшественника,предшественник,предшественнику,предшественником,М,1.0
1848,преемника,преемнике,преемника,преемник,преемнику,преемником,М,1.0
1849,презентации,презентации,презентацию,презентация,презентации,презентацией,Ж,0.0
1850,президента,президенте,президента,президент,президенту,президентом,М,1.0
1851,президиума,президиуме,президиум,президиум,президиуму,президиумом,М,0.0
1852,презрения,презрении,презрение,презрение,презрению,презрением,ср,0.0
1853,преимущества,преимуществе,преимущество,преимущество,преимуществу,преимуществом,ср,0.0
1854,прекращения,прекращении,прекращение,прекращение,прекращению,прекращением,ср,0.0
1855,прелести,прелести,прелесть,прелесть,прелести,прелестью,Ж,0.0
1856,премии,премии,премию,премия,премии,премией,Ж,0.0
1857,премьера,премьере,премьера,премьер,премьеру,премьером,М,1.0
1858,преобразования,преобразовании,преобразование,преобразование,преобразованию,преобразованием,ср,0.0
1859,преодоления,преодолении,преодоление,преодоление,преодолению,преодолением,ср,0.0
